City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
311,Coquimbo,CL,-29.9533,-71.3436,64.13,77,0,4.61,clear sky
312,Clyde River,CA,70.4692,-68.5914,-14.57,76,100,26.46,light snow
313,Arraial Do Cabo,BR,-22.9661,-42.0278,75.07,93,9,15.28,clear sky
314,Yichun,CN,47.7,128.9,7.72,72,66,1.83,broken clouds
315,Chum Phae,TH,16.5443,102.0992,81.5,55,70,8.3,broken clouds
316,Kemijarvi,FI,66.7131,27.4306,15.71,93,82,7.09,broken clouds
317,Ossora,RU,59.2353,163.0719,-0.45,82,83,6.69,broken clouds
318,Kulhudhuffushi,MV,6.6221,73.07,81.09,72,81,4.79,broken clouds
319,Yeppoon,AU,-23.1333,150.7333,87.58,72,43,20.2,scattered clouds
320,Gornopravdinsk,RU,60.05,69.9,3.4,96,100,3.36,overcast clouds
321,Airai,TL,-8.9266,125.4092,74.86,56,26,2.57,scattered clouds
322,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,91,65,12.8,broken clouds
323,Ghogha,IN,21.6833,72.2833,66.31,48,4,6.91,smoke
324,Emerald,AU,-23.5333,148.1667,91.35,31,0,14.97,clear sky
325,Fort Nelson,CA,58.8053,-122.7002,2.79,78,75,4.61,broken clouds
326,Odesskoye,RU,54.2111,72.9651,-8.73,99,93,4.54,overcast clouds
327,Kabare,CD,-2.4683,28.8242,59.65,92,97,1.32,light rain
328,Vredendal,ZA,-31.6683,18.5012,71.47,64,0,3.27,clear sky
329,Carballo,ES,43.213,-8.691,50.86,90,54,8.12,broken clouds
330,Carmelo,UY,-33.9892,-58.2856,71.55,54,0,6.4,clear sky
331,Conde,BR,-7.2597,-34.9075,78.26,89,20,4.61,few clouds
332,Aranos,NA,-24.1333,19.1167,69.66,70,100,5.44,overcast clouds
333,Inhambane,MZ,-23.865,35.3833,75.9,79,0,7.54,clear sky
334,Oranjemund,NA,-28.55,16.4333,63.86,94,17,6.69,light rain
335,Port Blair,IN,11.6667,92.75,78.84,69,20,11.5,few clouds
336,Sechura,PE,-5.5569,-80.8222,73.87,75,99,7.96,overcast clouds
337,Potam,MX,27.6,-110.3833,67.91,57,3,8.3,clear sky
338,Sao Benedito Do Rio Preto,BR,-3.3336,-43.5283,72.14,99,100,1.9,heavy intensity rain
339,Olinda,BR,-8.0089,-34.8553,82.13,74,40,8.05,scattered clouds
340,Zaozerne,UA,45.1582,33.2787,35.15,72,100,18.3,overcast clouds
341,Xining,CN,36.6167,101.7667,24.64,48,39,1.03,scattered clouds
342,Zyryanka,RU,65.75,150.85,-17.54,90,11,5.46,few clouds
343,Mlandizi,TZ,-6.7,38.7333,77.25,89,100,1.95,overcast clouds
344,Aljezur,PT,37.3191,-8.8033,52.3,88,7,10.02,clear sky
