City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
231,Guerrero Negro,MX,2022-02-11 19:18:21,27.9769,-114.0611,73.98,23,0,4.72
232,Georgetown,MY,2022-02-11 19:14:20,5.4112,100.3354,78.89,85,20,0.0
233,Waingapu,ID,2022-02-11 19:18:22,-9.6567,120.2641,78.31,83,100,2.53
234,Artvin,TR,2022-02-11 19:18:23,41.1667,41.8333,33.08,70,0,4.59
235,Kibaya,TZ,2022-02-11 19:18:23,-5.3,36.5667,59.14,96,100,0.81
236,Hamilton,US,2022-02-11 19:15:54,39.1834,-84.5333,58.05,47,100,16.11
237,Port Moresby,PG,2022-02-11 19:18:24,-9.4431,147.1797,73.9,82,100,4.12
238,Nador,MA,2022-02-11 19:18:25,35.174,-2.9287,55.65,76,0,2.3
239,Cocobeach,GA,2022-02-11 19:17:20,1.0002,9.5823,81.03,81,49,8.68
240,Tuktoyaktuk,CA,2022-02-11 19:18:26,69.4541,-133.0374,-20.2,69,75,14.97
241,Catamarca,AR,2022-02-11 19:18:27,-28.4696,-65.7852,74.64,83,88,8.01
242,Jalu,LY,2022-02-11 19:18:28,29.0331,21.5482,55.58,48,0,6.8
243,Salalah,OM,2022-02-11 19:18:28,17.0151,54.0924,70.79,68,0,3.62
244,Bambous Virieux,MU,2022-02-11 19:18:29,-20.3428,57.7575,77.25,88,20,1.14
245,Chokurdakh,RU,2022-02-11 19:18:29,70.6333,147.9167,-5.6,97,100,12.33
246,Farafangana,MG,2022-02-11 19:18:30,-22.8167,47.8333,77.25,84,22,5.95
247,Mezen,RU,2022-02-11 19:18:30,65.8522,44.24,19.78,96,100,6.06
248,Petauke,ZM,2022-02-11 19:18:31,-14.2426,31.3253,64.96,96,99,3.69
249,Alamosa,US,2022-02-11 19:18:32,37.4695,-105.87,46.38,29,0,0.0
250,Coquimbo,CL,2022-02-11 19:18:32,-29.9533,-71.3436,73.13,56,0,12.66
251,Laguna,US,2022-02-11 19:18:33,38.421,-121.4238,75.04,61,0,4.61
252,Skibbereen,IE,2022-02-11 19:18:33,51.55,-9.2667,46.2,78,100,27.16
253,Kallaste,EE,2022-02-11 19:18:34,58.655,27.1592,30.43,92,13,11.32
254,Gat,IL,2022-02-11 19:14:03,31.61,34.7642,53.4,100,12,5.7
255,Shingu,JP,2022-02-11 19:18:35,33.7333,135.9833,34.92,63,10,6.17
256,Elizabeth City,US,2022-02-11 19:18:35,36.2946,-76.2511,69.85,29,0,9.22
257,Brae,GB,2022-02-11 19:18:36,60.3964,-1.353,42.71,75,100,17.36
258,Honiara,SB,2022-02-11 19:18:36,-9.4333,159.95,76.33,95,100,3.62
259,Bonthe,SL,2022-02-11 19:18:37,7.5264,-12.505,80.22,80,8,11.18
260,Okhotsk,RU,2022-02-11 19:18:38,59.3833,143.3,-10.89,87,84,7.81
261,Gamba,GA,2022-02-11 19:18:38,-2.65,10.0,77.61,89,42,6.29
262,Cabo San Lucas,MX,2022-02-11 19:15:05,22.8909,-109.9124,78.51,55,0,6.91
263,Huangchuan,CN,2022-02-11 19:18:40,32.1272,115.0394,39.58,91,100,7.0
264,Surt,LY,2022-02-11 19:18:40,31.2089,16.5887,57.56,68,100,5.44
265,Raymond,US,2022-02-11 19:18:41,43.9015,-70.4703,48.22,53,97,7.74
266,Husavik,IS,2022-02-11 19:18:42,66.0449,-17.3389,22.91,90,95,5.77
267,Kirkwall,GB,2022-02-11 19:18:42,58.9848,-2.9587,41.34,81,100,11.5
